administration_of_mode,comments,organization_id,report_by_id,reported_value,rollup_mode_id,transit_metric_id,transit_mode_id,year
Direct Operated,,79,,7146,5,1,14,2014
Direct Operated,,79,,186460,5,3,14,2014
Direct Operated,,79,,39631,5,5,14,2014
Direct Operated,,79,,257630,5,9,14,2014
Direct Operated,,79,,41218,5,10,14,2014
Direct Operated,,79,,6458,5,1,14,2015
Direct Operated,,79,,176727,5,3,14,2015
Direct Operated,,79,,27312,5,5,14,2015
Direct Operated,,79,,244523,5,9,14,2015
Direct Operated,,79,,32085,5,10,14,2015
Direct Operated,,79,,6522,5,1,14,2016
Direct Operated,,79,,178226,5,3,14,2016
Direct Operated,,79,,15049,5,5,14,2016
Direct Operated,,79,,283605,5,9,14,2016
Direct Operated,,79,,18014,5,10,14,2016
Direct Operated,,79,,8558,5,1,14,2017
Direct Operated,,79,,198740,5,3,14,2017
Direct Operated,,79,,15169,5,5,14,2017
Direct Operated,,79,,352666,5,9,14,2017
Direct Operated,,79,,8662,5,10,14,2017
Direct Operated,,79,,7435,5,1,14,2018
Direct Operated,,79,,199235,5,3,14,2018
Direct Operated,,79,,18742,5,5,14,2018
Direct Operated,,79,,379158,5,9,14,2018
Direct Operated,,79,,10624,5,10,14,2018
Direct Operated,,81,,3530,5,1,14,2014
Direct Operated,,81,,81333,5,3,14,2014
Direct Operated,,81,,8532,5,5,14,2014
Direct Operated,,81,,250496,5,9,14,2014
Direct Operated,,81,,5800,5,10,14,2014
Direct Operated,,81,,3340,5,1,14,2015
Direct Operated,,81,,84765,5,3,14,2015
Direct Operated,,81,,8154,5,5,14,2015
Direct Operated,,81,,220463,5,9,14,2015
Direct Operated,,81,,5801,5,10,14,2015
Direct Operated,,81,,3547,5,1,14,2016
Direct Operated,,81,,89552,5,3,14,2016
Direct Operated,,81,,6183,5,5,14,2016
Direct Operated,,81,,200967,5,9,14,2016
Direct Operated,,81,,2688,5,10,14,2016
Direct Operated,,81,,4023,5,1,14,2017
Direct Operated,,81,,94335,5,3,14,2017
Direct Operated,,81,,5793,5,5,14,2017
Direct Operated,,81,,241267,5,9,14,2017
Direct Operated,,81,,3501,5,10,14,2017
Direct Operated,,81,,6599,5,1,14,2018
Direct Operated,,81,,141304,5,3,14,2018
Direct Operated,,81,,10197,5,5,14,2018
Direct Operated,,81,,375447,5,9,14,2018
Direct Operated,,81,,4393,5,10,14,2018
Direct Operated,,80,,7541,5,1,14,2014
Direct Operated,,80,,77380,5,3,14,2014
Direct Operated,,80,,53985,5,5,14,2014
Direct Operated,,80,,313550,5,9,14,2014
Direct Operated,,80,,7574,5,1,14,2015
Direct Operated,,80,,74231,5,3,14,2015
Direct Operated,,80,,66169,5,5,14,2015
Direct Operated,,80,,316384,5,9,14,2015
Direct Operated,,80,,7923,5,1,14,2016
Direct Operated,,80,,77268,5,3,14,2016
Direct Operated,,80,,68884,5,5,14,2016
Direct Operated,,80,,325504,5,9,14,2016
Direct Operated,,80,,11816,5,1,14,2017
Direct Operated,,80,,126158,5,3,14,2017
Direct Operated,,80,,74102,5,5,14,2017
Direct Operated,,80,,478172,5,9,14,2017
Direct Operated,,80,,15307,5,1,14,2018
Direct Operated,,80,,169474,5,3,14,2018
Direct Operated,,80,,88301,5,5,14,2018
Direct Operated,,80,,648303,5,9,14,2018
Direct Operated,,80,,4647,5,10,14,2018
Direct Operated,,78,,7680,5,1,14,2015
Direct Operated,,78,,203271,5,3,14,2015
Direct Operated,,78,,34811,5,5,14,2015
Direct Operated,,78,,603918,5,9,14,2015
Direct Operated,,78,,3410,5,10,14,2015
Direct Operated,,78,,7959,5,1,14,2016
Direct Operated,,78,,198803,5,3,14,2016
Direct Operated,,78,,38494,5,5,14,2016
Direct Operated,,78,,719805,5,9,14,2016
Direct Operated,,78,,2835,5,10,14,2016
Direct Operated,,78,,7390,5,1,14,2017
Direct Operated,,78,,187478,5,3,14,2017
Direct Operated,,78,,40457,5,5,14,2017
Direct Operated,,78,,695889,5,9,14,2017
Direct Operated,,78,,2586,5,10,14,2017
Direct Operated,,78,,7677,5,1,14,2018
Direct Operated,,78,,194735,5,3,14,2018
Direct Operated,,78,,40768,5,5,14,2018
Direct Operated,,78,,714907,5,9,14,2018
Direct Operated,,78,,3250,5,10,14,2018
Direct Operated,,76,,3730,5,1,14,2014
Direct Operated,,76,,124378,5,3,14,2014
Direct Operated,,76,,8620,5,5,14,2014
Direct Operated,,76,,342524,5,9,14,2014
Direct Operated,,76,,23118,5,10,14,2014
Direct Operated,,76,,3662,5,1,14,2015
Direct Operated,,76,,121707,5,3,14,2015
Direct Operated,,76,,7843,5,5,14,2015
Direct Operated,,76,,330668,5,9,14,2015
Direct Operated,,76,,21075,5,10,14,2015
Direct Operated,,76,,3633,5,1,14,2016
Direct Operated,,76,,122951,5,3,14,2016
Direct Operated,,76,,8907,5,5,14,2016
Direct Operated,,76,,328132,5,9,14,2016
Direct Operated,,76,,26536,5,10,14,2016
Direct Operated,,76,,3621,5,1,14,2017
Direct Operated,,76,,119778,5,3,14,2017
Direct Operated,,76,,7870,5,5,14,2017
Direct Operated,,76,,315362,5,9,14,2017
Direct Operated,,76,,19609,5,10,14,2017
Direct Operated,,76,,3659,5,1,14,2018
Direct Operated,,76,,121547,5,3,14,2018
Direct Operated,,76,,7583,5,5,14,2018
Direct Operated,,76,,394054,5,9,14,2018
Direct Operated,,76,,21278,5,10,14,2018
Direct Operated,,74,,4565,5,1,14,2014
Direct Operated,,74,,121830,5,3,14,2014
Direct Operated,,74,,10649,5,5,14,2014
Direct Operated,,74,,307051,5,9,14,2014
Direct Operated,,74,,11770,5,10,14,2014
Direct Operated,,74,,4851,5,1,14,2015
Direct Operated,,74,,130469,5,3,14,2015
Direct Operated,,74,,10214,5,5,14,2015
Direct Operated,,74,,362963,5,9,14,2015
Direct Operated,,74,,15414,5,10,14,2015
Direct Operated,,74,,5143,5,1,14,2016
Direct Operated,,74,,139791,5,3,14,2016
Direct Operated,,74,,9586,5,5,14,2016
Direct Operated,,74,,362891,5,9,14,2016
Direct Operated,,74,,17224,5,10,14,2016
Direct Operated,,74,,5204,5,1,14,2017
Direct Operated,,74,,141705,5,3,14,2017
Direct Operated,,74,,10118,5,5,14,2017
Direct Operated,,74,,445242,5,9,14,2017
Direct Operated,,74,,19205,5,10,14,2017
Direct Operated,,74,,5314,5,1,14,2018
Direct Operated,,74,,143172,5,3,14,2018
Direct Operated,,74,,9913,5,5,14,2018
Direct Operated,,74,,464592,5,9,14,2018
Direct Operated,,74,,19097,5,10,14,2018
Direct Operated,,73,,2001,5,1,14,2014
Direct Operated,,73,,40500,5,3,14,2014
Direct Operated,,73,,5508,5,5,14,2014
Direct Operated,,73,,106717,5,9,14,2014
Direct Operated,,73,,8302,5,10,14,2014
Direct Operated,,73,,2504,5,1,14,2015
Direct Operated,,73,,59788,5,3,14,2015
Direct Operated,,73,,5373,5,5,14,2015
Direct Operated,,73,,117088,5,9,14,2015
Direct Operated,,73,,8430,5,10,14,2015
Direct Operated,,73,,2195,5,1,14,2016
Direct Operated,,73,,55085,5,3,14,2016
Direct Operated,,73,,5440,5,5,14,2016
Direct Operated,,73,,113614,5,9,14,2016
Direct Operated,,73,,6945,5,10,14,2016
Direct Operated,,73,,2757,5,1,14,2017
Direct Operated,,73,,69697,5,3,14,2017
Direct Operated,,73,,7055,5,5,14,2017
Direct Operated,,73,,154851,5,9,14,2017
Direct Operated,,73,,10289,5,10,14,2017
Direct Operated,,73,,2423,5,1,14,2018
Direct Operated,,73,,66728,5,3,14,2018
Direct Operated,,73,,7164,5,5,14,2018
Direct Operated,,73,,161330,5,9,14,2018
Direct Operated,,73,,11796,5,10,14,2018
Direct Operated,,71,,1845,5,1,14,2018
Direct Operated,,71,,37874,5,3,14,2018
Direct Operated,,71,,1425,5,5,14,2018
Direct Operated,,71,,105307,5,9,14,2018
Direct Operated,,71,,19014,5,10,14,2018
Direct Operated,,23,,2007,5,1,14,2015
Direct Operated,,23,,45776,5,3,14,2015
Direct Operated,,23,,10669,5,5,14,2015
Direct Operated,,23,,181276,5,9,14,2015
Direct Operated,,23,,12656,5,10,14,2015
Direct Operated,,80,,2458,5,1,5,2014
Direct Operated,,80,,79438,5,3,5,2014
Direct Operated,,80,,25058,5,5,5,2014
Direct Operated,,80,,227753,5,9,5,2014
Direct Operated,,80,,118731,5,10,5,2014
Direct Operated,,77,,1854,5,1,5,2014
Direct Operated,,77,,50450,5,3,5,2014
Direct Operated,,77,,7949,5,5,5,2014
Direct Operated,,77,,172555,5,9,5,2014
Direct Operated,,77,,4550,5,10,5,2014
Direct Operated,,77,,1903,5,1,5,2015
Direct Operated,,77,,51865,5,3,5,2015
Direct Operated,,77,,6640,5,5,5,2015
Direct Operated,,77,,154112,5,9,5,2015
Direct Operated,,77,,2642,5,10,5,2015
Direct Operated,,77,,1834,5,1,5,2016
Direct Operated,,77,,51047,5,3,5,2016
Direct Operated,,77,,6112,5,5,5,2016
Direct Operated,,77,,224322,5,9,5,2016
Direct Operated,,77,,3924,5,10,5,2016
Direct Operated,,77,,1994,5,1,5,2017
Direct Operated,,77,,55266,5,3,5,2017
Direct Operated,,77,,5960,5,5,5,2017
Direct Operated,,77,,175099,5,9,5,2017
Direct Operated,,77,,2454,5,10,5,2017
Direct Operated,,77,,1894,5,1,5,2018
Direct Operated,,77,,49477,5,3,5,2018
Direct Operated,,77,,4766,5,5,5,2018
Direct Operated,,77,,152447,5,9,5,2018
Direct Operated,,77,,1891,5,10,5,2018
Direct Operated,,75,,5248,5,1,5,2014
Direct Operated,,75,,117578,5,3,5,2014
Direct Operated,,75,,15458,5,5,5,2014
Direct Operated,,75,,324717,5,9,5,2014
Direct Operated,,75,,1949,5,10,5,2014
Direct Operated,,75,,5624,5,1,5,2015
Direct Operated,,75,,127750,5,3,5,2015
Direct Operated,,75,,14581,5,5,5,2015
Direct Operated,,75,,326297,5,9,5,2015
Direct Operated,,75,,1956,5,10,5,2015
Direct Operated,,75,,9874,5,1,5,2016
Direct Operated,,75,,223860,5,3,5,2016
Direct Operated,,75,,12987,5,5,5,2016
Direct Operated,,75,,585107,5,9,5,2016
Direct Operated,,75,,2231,5,10,5,2016
Direct Operated,,75,,11983,5,1,5,2017
Direct Operated,,75,,291417,5,3,5,2017
Direct Operated,,75,,12828,5,5,5,2017
Direct Operated,,75,,741676,5,9,5,2017
Direct Operated,,75,,11627,5,1,5,2018
Direct Operated,,75,,272671,5,3,5,2018
Direct Operated,,75,,14034,5,5,5,2018
Direct Operated,,75,,649436,5,9,5,2018
Direct Operated,,70,,3541,5,1,5,2014
Direct Operated,,70,,97215,5,3,5,2014
Direct Operated,,70,,36908,5,5,5,2014
Direct Operated,,70,,213228,5,9,5,2014
Direct Operated,,70,,3651,5,1,5,2015
Direct Operated,,70,,95623,5,3,5,2015
Direct Operated,,70,,33919,5,5,5,2015
Direct Operated,,70,,219200,5,9,5,2015
Direct Operated,,70,,3021,5,1,5,2016
Direct Operated,,70,,90804,5,3,5,2016
Direct Operated,,70,,27271,5,5,5,2016
Direct Operated,,70,,254748,5,9,5,2016
Direct Operated,,70,,2756,5,1,5,2017
Direct Operated,,70,,79338,5,3,5,2017
Direct Operated,,70,,21126,5,5,5,2017
Direct Operated,,70,,232827,5,9,5,2017
Direct Operated,,70,,2765,5,1,5,2018
Direct Operated,,70,,79384,5,3,5,2018
Direct Operated,,70,,19727,5,5,5,2018
Direct Operated,,70,,203994,5,9,5,2018
Direct Operated,,68,,3534,5,1,5,2014
Direct Operated,,68,,121050,5,3,5,2014
Direct Operated,,68,,28877,5,5,5,2014
Direct Operated,,68,,266571,5,9,5,2014
Direct Operated,,68,,26063,5,10,5,2014
Direct Operated,,68,,3548,5,1,5,2015
Direct Operated,,68,,122559,5,3,5,2015
Direct Operated,,68,,30197,5,5,5,2015
Direct Operated,,68,,272104,5,9,5,2015
Direct Operated,,68,,27548,5,10,5,2015
Direct Operated,,68,,3508,5,1,5,2016
Direct Operated,,68,,120732,5,3,5,2016
Direct Operated,,68,,29537,5,5,5,2016
Direct Operated,,68,,252802,5,9,5,2016
Direct Operated,,68,,28301,5,10,5,2016
Direct Operated,,68,,3470,5,1,5,2017
Direct Operated,,68,,120353,5,3,5,2017
Direct Operated,,68,,24154,5,5,5,2017
Direct Operated,,68,,295535,5,9,5,2017
Direct Operated,,68,,34582,5,10,5,2017
Direct Operated,,68,,3548,5,1,5,2018
Direct Operated,,68,,122369,5,3,5,2018
Direct Operated,,68,,21228,5,5,5,2018
Direct Operated,,68,,327197,5,9,5,2018
Direct Operated,,68,,40348,5,10,5,2018
Direct Operated,,48,,994,1,1,5,2013
Direct Operated,,48,,33999,1,3,5,2013
Direct Operated,,48,,5999,1,5,5,2013
Direct Operated,,48,,6858,1,6,5,2013
Direct Operated,,34,,1368,1,1,5,2014
Direct Operated,,34,,1368,1,2,5,2014
Direct Operated,,34,,58582,1,3,5,2014
Direct Operated,,34,,58780,1,4,5,2014
Direct Operated,,34,,2935,1,5,5,2014
Direct Operated,,34,,8906,1,7,5,2014
Direct Operated,,34,,1,1,8,5,2014
Direct Operated,,34,,171272,1,9,5,2014
Direct Operated,,34,,1383,1,10,5,2014
Direct Operated,,33,,510928,1,1,5,2017
Purchased Transportation,,33,,115419,1,1,5,2017
Direct Operated,,33,,633864,1,2,5,2017
Purchased Transportation,,33,,150877,1,2,5,2017
Direct Operated,,33,,9484767,1,3,5,2017
Purchased Transportation,,33,,2514666,1,3,5,2017
Direct Operated,,33,,12893382,1,4,5,2017
Purchased Transportation,,33,,3451484,1,4,5,2017
Direct Operated,,33,,14726434,1,5,5,2017
Purchased Transportation,,33,,3648400,1,5,5,2017
Direct Operated,,33,,1688962,1,6,5,2017
Purchased Transportation,,33,,808466,1,6,5,2017
Direct Operated,,33,,866756,1,5,5,2017
Direct Operated,,33,,551.4,1,8,5,2017
Purchased Transportation,,33,,157.7,1,8,5,2017
Direct Operated,,33,,102745702,1,9,5,2017
Purchased Transportation,,33,,21249667,1,9,5,2017
Direct Operated,,33,,28271310,1,10,5,2017
Purchased Transportation,,33,,8993275,1,10,5,2017
Direct Operated,,33,,496115,1,1,5,2016
Purchased Transportation,,33,,114183,1,1,5,2016
Direct Operated,,33,,614122,1,2,5,2016
Purchased Transportation,,33,,150758,1,2,5,2016
Direct Operated,,33,,9396151,1,3,5,2016
Purchased Transportation,,33,,2524196,1,3,5,2016
Direct Operated,,33,,12721788,1,4,5,2016
Purchased Transportation,,33,,3479166,1,4,5,2016
Direct Operated,,33,,14825139,1,5,5,2016
Purchased Transportation,,33,,3645267,1,5,5,2016
Direct Operated,,33,,2488858,1,6,5,2016
Purchased Transportation,,33,,805462,1,6,5,2016
Direct Operated,,33,,134774,1,5,5,2016
Direct Operated,,33,,558.4,1,8,5,2016
Purchased Transportation,,33,,158.5,1,8,5,2016
Direct Operated,,33,,97761911,1,9,5,2016
Purchased Transportation,,33,,20821023,1,9,5,2016
Direct Operated,,33,,27491588,1,10,5,2016
Purchased Transportation,,33,,8702703,1,10,5,2016
Direct Operated,,33,,469497,1,1,5,2015
Purchased Transportation,,33,,114896,1,1,5,2015
Direct Operated,,33,,579425,1,2,5,2015
Purchased Transportation,,33,,148522,1,2,5,2015
Direct Operated,,33,,9093367,1,3,5,2015
Purchased Transportation,,33,,2510798,1,3,5,2015
Direct Operated,,33,,12110428,1,4,5,2015
Purchased Transportation,,33,,3450690,1,4,5,2015
Direct Operated,,33,,14666561,1,5,5,2015
Purchased Transportation,,33,,3646063,1,5,5,2015
Direct Operated,,33,,2380445,1,6,5,2015
Purchased Transportation,,33,,836598,1,6,5,2015
Direct Operated,,33,,180792,1,5,5,2015
Direct Operated,,33,,403.5,1,8,5,2015
Purchased Transportation,,33,,158.8,1,8,5,2015
Direct Operated,,33,,89448827,1,9,5,2015
Purchased Transportation,,33,,19365478,1,9,5,2015
Direct Operated,,33,,26488050,1,10,5,2015
Purchased Transportation,,33,,8830121,1,10,5,2015
Direct Operated,,33,,461656,1,1,5,2014
Purchased Transportation,,33,,113606,1,1,5,2014
Direct Operated,,33,,573657,1,2,5,2014
Purchased Transportation,,33,,143664,1,2,5,2014
Direct Operated,,33,,9155570,1,3,5,2014
Purchased Transportation,,33,,2512980,1,3,5,2014
Direct Operated,,33,,12422608,1,4,5,2014
Purchased Transportation,,33,,3429753,1,4,5,2014
Direct Operated,,33,,13993353,1,5,5,2014
Purchased Transportation,,33,,3676480,1,5,5,2014
Direct Operated,,33,,2455525,1,6,5,2014
Purchased Transportation,,33,,861295,1,6,5,2014
Direct Operated,,33,,199269,1,5,5,2014
Direct Operated,,33,,385.3,1,8,5,2014
Purchased Transportation,,33,,158.1,1,8,5,2014
Direct Operated,,33,,91258400,1,9,5,2014
Purchased Transportation,,33,,20222374,1,9,5,2014
Direct Operated,,33,,25034053,1,10,5,2014
Purchased Transportation,,33,,8796421,1,10,5,2014
Direct Operated,,33,,456817,1,1,5,2013
Purchased Transportation,,33,,89777,1,1,5,2013
Direct Operated,,33,,561756,1,2,5,2013
Purchased Transportation,,33,,142410,1,2,5,2013
Direct Operated,,33,,9106695,1,3,5,2013
Purchased Transportation,,33,,2447633,1,3,5,2013
Direct Operated,,33,,11760847,1,4,5,2013
Purchased Transportation,,33,,3359966,1,4,5,2013
